,base,clouds.all,cod,coord.lat,coord.lon,dt,id,main.grnd_level,main.humidity,main.pressure,main.sea_level,main.temp,main.temp_max,main.temp_min,name,rain.1h,rain.3h,sys.country,sys.id,sys.message,sys.sunrise,sys.sunset,sys.type,visibility,weather,wind.deg,wind.gust,wind.speed
0,stations,80,200,-23.12,-134.97,1537731553,4030556,1021.81,100,1021.81,1021.94,66.14,66.14,66.14,Rikitea,,2.5775,PF,,0.0035,1537714045,1537757798,,,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",69.0035,,12.88
1,stations,44,200,46.54,138.33,1537731554,2015852,1017.19,100,1017.19,1027.17,53.27,53.27,53.27,Svetlaya,,,RU,,0.0031,1537648509,1537692112,,,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",11.5035,,8.41
2,stations,20,200,39.52,-104.76,1537729080,5434006,,3,1018.0,,83.71,86.0,80.6,Parker,,,US,546.0,0.0066,1537706907,1537750380,1.0,16093.0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",156.504,,3.15
3,stations,0,200,-15.94,-5.72,1537731554,3370903,1031.3,99,1031.3,1031.35,68.12,68.12,68.12,Jamestown,,,SH,,0.0032,1537683070,1537726742,,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",116.004,,15.68
4,stations,0,200,-4.49,-38.6,1537731555,3393766,1015.08,67,1015.08,1024.82,79.37,79.37,79.37,Ocara,,,BR,,0.0036,1537690985,1537734595,,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",77.5035,,11.54
5,stations,20,200,38.52,-28.7,1537729200,3372707,,78,1028.0,,77.0,77.0,77.0,Ribeira Grande,,,PT,5950.0,0.0033,1537688642,1537732147,1.0,10000.0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",140.0,,6.93
6,stations,20,200,72.79,-56.15,1537731555,3418910,1010.14,100,1010.14,1013.27,30.32,30.32,30.32,Upernavik,,,GL,,0.0035,1537695073,1537738774,,,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",1.00354,,18.03
7,stations,92,200,-46.43,-67.52,1537731555,3863379,999.12,79,999.12,1020.81,47.33,47.33,47.33,Mar del Plata,,0.4725,AR,,0.0045,1537697728,1537741777,,,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",42.5035,,3.83
8,stations,40,200,-0.74,-90.35,1537729200,3652764,,61,1010.0,,77.0,77.0,77.0,Puerto Ayora,,,EC,4355.0,0.0039,1537703409,1537747002,1.0,10000.0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",120.0,,19.46
9,stations,1,200,39.51,-90.4,1537728900,4252975,,36,1019.0,,77.29,78.98,75.74,Barrow,,,US,978.0,0.0066,1537703459,1537746937,1.0,16093.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",110.0,,5.82
10,stations,0,200,-28.24,-48.67,1537729200,3461370,,65,1011.0,,78.8,78.8,78.8,Imbituba,,,BR,4493.0,0.0034,1537693327,1537737108,1.0,10000.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",350.0,,6.93
11,stations,88,200,62.86,42.71,1537731531,577240,1006.82,94,1006.82,1013.84,48.32,48.32,48.32,Bereznik,,,RU,,0.0027,1537671403,1537715062,,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",223.004,,6.96
12,stations,20,200,-21.36,55.77,1537729200,935215,,73,1022.0,,71.73,73.4,69.8,Saint-Philippe,,,RE,6792.0,0.0041,1537668305,1537712003,1.0,10000.0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",70.0,,5.82
13,stations,36,200,-35.02,117.88,1537731557,2077963,1018.89,98,1018.89,1031.91,52.55,52.55,52.55,Albany,,,AU,,0.0195,1537653361,1537697157,,,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",132.504,,2.93
